도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
부의 추월차선,엠제이 드마코,토트,20130820,경제/경영,15000,392,1
봉제인형 살인사건,다니엘 콜,북플라자,20171020,소설,15000,400,1
법정스님 인생응원가,정찬주,다연,20191120,시/에세이,15000,328,1
아홉 명의 완벽한 타인들,리안 모리아티,마시멜로,20191025,소설,15800,600,1
멋진 신세계,올더스 헉슬리,소담출판사,20150612,소설,13800,400,1
아몬드(양장본 HardCover),손원평,창비,20170331,소설,12000,263,1
넛지(양장본 HardCover),리처드 탈러,리더스북,20181123,경제/경영,18000,428,1
해커스 토익 스타트 리딩(Reading) RC(개정판 4판),David Cho,해커스어학연구소,20200220,외국어,14900,580,1
아내를 모자로 착각한 남자(개정판)(양장본 HardCover),올리버 색스,알마,20160817,과학,18500,396,1
내가 원하는 것을 나도 모를 때,전승환,다산초당,20200108,인문,16000,320,1
정의란 무엇인가(마이클 샌델),마이클 샌델,와이즈베리,20141120,인문,15000,443,1
대한민국 부동산 사용설명서(양장본 HardCover),김학렬,에프엔미디어,20200101,경제/경영,19500,344,1
너와 함께라면 인생도 여행이다(겨울 에디션)(양장본 HardCover),나태주,열림원,20191212,시/에세이,13500,352,1
공부머리 독서법,최승필,책구루,20180503,인문,16500,344,1
설민석의 조선왕조실록,설민석,세계사,20160720,역사/문화,22000,504,1
언어의 온도(170만부 기념 에디션),이기주,말글터,20160819,시/에세이,13800,308,1
설민석의 삼국지. 1,설민석,세계사,20190717,인문,22000,440,1
신이 쉼표를 넣은 곳에 마침표를 찍지 말라(양장본 HardCover),류시화,더숲,20191206,소설,18000,476,1
빨강 머리 앤(더모던 감성클래식 2)(양장본 HardCover),루시 모드 몽고메리,더모던,20190510,소설,16800,532,1
12가지 인생의 법칙(30만부 기념 리커버 에디션),조던 B. 피터슨,메이븐,20181030,인문,16800,552,1
설민석의 세계사 대모험. 4,설민석,단꿈아이,20200113,어린이(초등),12000,208,1
데미안(세계문학전집 44),헤르만 헤세,민음사,20090120,소설,8000,240,1
밍꼬발랄 코믹스. 1,김혜련,겜툰,20191222,어린이(초등),12000,160,1
영어회화 핵심패턴 233,백선엽,길벗이지톡,20160815,외국어,15000,404,1
인생을 어떻게 살면 좋겠냐고 묻는 딸에게,한창욱,다연,20191017,자기계발,15000,264,1
Go Go 카카오프렌즈. 11: 한국(부록: 스티커 1장 + 스페셜 여권),김미영,아울북,20191120,어린이(초등),12000,176,1
말센스,셀레스트 헤들리,스몰빅라이프,20190225,자기계발,14500,240,1
서양미술사,E. H. 곰브리치,예경,20030710,예술/대중문화,38000,688,1
선량한 차별주의자,김지혜,창비,20190717,정치/사회,15000,244,1
시작의 기술(양장본 HardCover),개리 비숍,웅진지식하우스,20190417,자기계발,16000,227,1
해커스 토익 스타트 리스닝(Listening) LC(개정판 4판),David Cho,해커스어학연구소,20200309,외국어,14900,572,1
부의 확장,천영록,다산북스,20200108,경제/경영,16000,308,1
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,민음인,20180222,경제/경영,15800,448,1
이기적 유전자(40주년 기념판),리처드 도킨스,을유문화사,20181020,과학,20000,632,1
돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,20170202,소설,15000,380,1
좀비고등학교 코믹스. 16,유대영,겜툰,20191223,어린이(초등),9800,160,1
추리 천재 엉덩이 탐정. 8: 괴도와 납치된 신부 사건(양장본 HardCover),트롤,아이세움,20190725,어린이(초등),12000,88,1
바디: 우리 몸 안내서,빌 브라이슨,까치,20200110,과학,23000,576,1
쓸 만한 인간(개정증보판),박정민,상상출판,20190902,시/에세이,14200,312,1
당신은 뇌를 고칠 수 있다,톰 오브라이언,브론스테인,20190821,건강,19800,452,1
해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,20200417,외국어,19500,596,1
철학은 어떻게 삶의 무기가 되는가,야마구치 슈,다산초당,20190121,인문,16000,336,1
50부터는 인생관을 바꿔야 산다,사이토 다카시,센시오,20191023,자기계발,14500,228,1
주식투자 무작정 따라하기(2020)(개정판),윤재수,길벗,20200110,경제/경영,18000,420,1
검사내전,김웅,부키,20180119,정치/사회,15000,384,1
나를 아프게 하지 않는다,전미경,지와인,20191205,인문,14800,268,1
"곰돌이 푸, 행복한 일은 매일 있어",곰돌이 푸 (원작),알에이치코리아,20180312,시/에세이,12000,160,1
해커스 보카(Hackers Vocabulary)(개정판 2판),David Cho,해커스어학연구소,20150701,외국어,16900,366,1
날씨가 좋으면 찾아가겠어요,이도우,시공사,20180628,소설,13800,432,1
혼자가 혼자에게,이병률,달,20190919,시/에세이,15500,316,1
오래도록 젊음을 유지하고 건강하게 죽는 법,스티븐 R. 건드리,브론스테인,20191113,건강,19800,464,1
디즈니 겨울왕국2 무비 더블 스토리북(양장본 HardCover),빌 스콜런 (각색),대원키즈,20191114,어린이(초등),10000,108,1
기적의 말하기 영단어 1000(무료 MP3 파일),이시원,시원스쿨닷컴,20190212,외국어,9000,348,1
